referencia,Nombre_Producto,Existencia_MED,Transito,Reservas,Existencia_BOG,Total_Inv,Disponibilidad
01-22100-1,"(UND) TRIAD SUB SOBREPONER 1"" SERIE OMNI",0,1,1,0,0,-1
01-2300-2,(UND) AMPLIFICADOR STANDALONE RACKAMP300,2,0,0,0,2,2
01-30251-1,(PAR) PARLANTE DE SOBREPONER EXT OD25   ,0,4,4,0,0,-4
01-30341-1,(UND) GARDEN ARRAY 10 SUBWOOFER TRIAD    ,0,0,0,0,0,0
01-33006-2000-1,"(UND) TRIAD SOUNDBAR LCR 3.0 STD 44""    ",0,0,1,0,0,-1
01-55041-1000-1,"(PAR) TRIAD EMP TECHO 6"" SERIE SILVER   ",0,2,2,0,0,-2
01-AB10P-WH,(PAQ10) PARTE INDIVIDUAL SUPERIOR SWITCH,1,0,0,0,1,1
01-AC-3C-WH-1,(UND) CUSTOM 3 BUTTON APAGAR TODO EN,1,0,0,0,1,1
01-AC-3C-WH-2,(UND) CUSTOM 3-BUTTON SALIDA ENGRAVE,1,0,0,0,1,1
01-AC-3C-WH-3,(UND) CUSTOM 3 BUTTON FIESTA ENGRAVE,1,0,0,0,1,1
01-AC-3C-WH-5,(UND) CUSTOM 3 BUTTON ON-OFF ENGRAVE,2,0,0,0,2,2
01-AC-3C-WH-6,(UND) CUSTOM 3 BUTTON REUNION ENGRAV,1,0,0,0,1,1
01-AC-3C-WH-7,(UND) CUSTOM 3 BUTTON RELAX ENGRAVED,1,0,0,0,1,1
01-AC-3C-WH-8,(UND) CUSTOM 3 BUTTON LLEGADA ENGRAV,1,0,0,0,1,1
01-AC-6C-WH-10,(UND) CUSTOM 6 BUTTON CLOSE ENGRAVED,1,0,0,0,1,1
01-AC-6C-WH-9,(UND) CUSTOM 6 BUTTON OPEN ENGRAVED,1,0,0,0,1,1
01-AC-FMTS1-W,(UND) FLUSH MOUNT REMOTE TEMPERATURE,0,0,0,0,0,0
01-AMINA-IQ2-W,(UND) PARLANTE DE EMPOTRAR EN PARED INVISIBLE ,0,0,0,0,0,0
01-AMINA-IQ3-BACKBOX,(UND) CAJA PARA AMINA IQ3 - PARED DE YESO     ,0,0,0,0,0,0
01-AMINA-IQ3-W,(PAR) PARLANTE DE EMPOTRAR INVISIBLE IQ3,0,0,0,0,0,0
01-B-C4-EA1-V2,(UND) CONTROLADOR DE AUTOMAT EA1 B-STOCK ,0,0,0,0,0,0
01-BSIW-BDL1,"(UND) TRIAD SUB EMP 10"" SERIE BRONCE    ",0,2,2,0,0,-2
01-C4-16S2-E-B,(UND) AUDIO MATRIX STWICH 16-V2,0,0,0,0,0,0
01-C4-16ZAMSV3-B,(UND) AUDIO MATRIX SWITCH                     ,0,0,0,0,0,0
